"Participant","RT","ISI","Response_Type","Trial_Score","Total_Score","Threshold","Valid_Trial","Valid_Trial_Count","Stimulus_Size","Stimulus_X","Stimulus_Y","Stimulus_Orientation"
"S129",0.437929773275757,1.09437012672424,"slow",0,2021,0.343089534950256,TRUE,19,0.468890964984894,567.436889648438,107.199005126953,-0.809017181396484
"S129",0.320093057687378,3.09560704231262,"fast",168,2189,0.347045127813721,TRUE,20,0.408770531415939,-308.1513671875,-153.497985839844,-0.309017360210419
"S129",0.317461039297485,2.53163886070251,"fast",168,2357,0.343089534950256,TRUE,21,0.305159032344818,784.948852539062,130.395233154297,0.725374639034271
"S129",0.429098416574097,1.8873016834259,"slow",0,2357,0.339133942086792,TRUE,22,0.392809063196182,400.687927246094,-374.761505126953,-0.939692735671997
"S129",0.467979844093322,1.61502015590668,"slow",0,2357,0.343089534950256,TRUE,23,0.305585861206055,753.710632324219,32.3921966552734,-0.333807200193405
"S129",0.34224562353363,1.12455427646637,"fast",164,2521,0.347045127813721,TRUE,24,0.683426082134247,507.101684570312,-201.642593383789,0.814115762710571
"S129",0.621985790007019,1.00961410999298,"slow",0,0,0.344645375673675,TRUE,25,0.506540536880493,-714.410827636719,-418.025329589844,0.79863578081131
"S129",0.333863824899292,2.26533627510071,"fast",166,166,0.347045127813721,TRUE,26,0.302209913730621,779.948059082031,-232.942901611328,-0.0784587860107422
"S129",0.304089400918579,2.92871069908142,"fast",171,337,0.344645375673675,TRUE,27,0.698746502399445,670.492431640625,4.39906883239746,-0.0261772871017456
"S129",0.338224577386474,1.91137552261353,"fast",164,501,0.34224562353363,TRUE,28,0.396205097436905,-499.671997070312,23.5867767333984,0.991444826126099
"S129",0.351896833474731,3.41480326652527,"slow",0,501,0.340689782810211,TRUE,29,0.452725291252136,-605.082214355469,10.4088745117188,0.992546141147614
"S129",0.387411348342895,2.8295886516571,"slow",0,501,0.34224562353363,TRUE,30,0.33780837059021,719.625915527344,-207.029602050781,-0.913545310497284
"S129",0.301950037765503,3.5633499622345,"fast",171,672,0.344645375673675,TRUE,31,0.517908692359924,-506.062744140625,38.2051315307617,-0.760406315326691
"S129",0.623573839187622,1.47592616081238,"slow",0,672,0.34224562353363,TRUE,32,0.562616109848022,-612.943481445312,-281.035430908203,0.814115881919861
"S129",-1.67980698776245,2.41280698776245,"early",-100,572,0.344645375673675,FALSE,32,0,0,0,0
"S129",0.372576354217529,2.81062364578247,"slow",0,572,0.344645375673675,TRUE,33,0.47413581609726,486.261352539062,130.162261962891,-0.898793756961823
"S129",0.382781864492798,2.1834180355072,"slow",0,572,0.347045127813721,TRUE,34,0.392924308776855,589.657470703125,203.735717773438,-0.819152414798737
"S129",0.377082025146485,3.93951797485352,"slow",0,572,0.348756797381591,TRUE,35,0.435996502637863,710.040832519531,-218.216796875,0.974369943141937
"S129",0.38601039352417,3.43088960647583,"slow",0,572,0.350468466949462,TRUE,36,0.42972406744957,700.87548828125,-390.886962890625,0.978147685527802
"S129",0.303966152627563,3.34613394737244,"fast",172,744,0.351182650212097,TRUE,37,0.331645846366882,640.957885742188,-414.12939453125,-0.991444766521454
"S129",0.473522225379944,1.24247777462006,"slow",0,744,0.350468466949462,TRUE,38,0.302496075630188,394.075988769531,-95.8095855712891,0.930417358875275
"S129",0.471833549554443,1.09436655044556,"slow",0,744,0.351182650212097,TRUE,39,0.514317393302917,633.258972167969,-119.864273071289,-0.50753790140152
"S129",0.363517367362976,1.13598263263702,"slow",0,744,0.351896833474731,TRUE,40,0.652195632457733,580.482421875,-89.4965286254883,-0.6018146276474
"S129",0.376891855239868,1.63960814476013,"slow",0,744,0.352861336517334,TRUE,41,0.395733207464218,-714.999938964844,-193.055358886719,-0.760405659675598
"S129",0.55752555847168,2.17497444152832,"slow",0,744,0.353825839559936,TRUE,42,0.529641687870026,-349.404144287109,-40.5615768432617,0.453990042209625
"S129",0.352967008018493,1.66293299198151,"fast",164,908,0.357805561801147,TRUE,43,0.556723296642303,439.51806640625,-49.2560272216797,0.719339430332184
